IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.700158
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.67225
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.647133
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.636294
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.619231
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.611505
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.612322
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.613082
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.605034
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.586875
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.572949
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.590373
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.560442
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.552875
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.524027
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.525623
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.504226
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.443279
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.406161
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.348524
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",1,"1950",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",46.4643
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",2,"1951",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",47.144
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",3,"1952",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",48.2311
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",4,"1953",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",48.8024
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",5,"1954",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",49.5919
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",6,"1955",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",50.1229
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",7,"1956",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",50.6425
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",8,"1957",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",50.9448
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",9,"1958",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",51.537
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",10,"1959",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",49.3453
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",11,"1960",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",47.6972
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",12,"1961",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",50.3587
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",13,"1962",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",53.1245
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",14,"1963",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",53.5761
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",15,"1964",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",54.1638
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",16,"1965",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",53.8924
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",17,"1966",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",54.472
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",18,"1967",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",54.9203
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",19,"1968",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",55.486
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",20,"1969",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",55.8286
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",21,"1970",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",56.112
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",22,"1971",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",55.8924
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",23,"1972",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",57.1231
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",24,"1973",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",57.6327
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",25,"1974",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",58.0422
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",26,"1975",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",58.2754
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",27,"1976",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",58.7107
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",28,"1977",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",59.3652
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",29,"1978",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",59.7402
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",30,"1979",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",60.2037
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",31,"1980",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",60.5524
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",32,"1981",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",60.9915
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",33,"1982",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",61.4165
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",34,"1983",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",61.5651
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",35,"1984",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",61.907
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",36,"1985",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",62.2356
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",37,"1986",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",62.7665
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",38,"1987",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",63.1585
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",39,"1988",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",63.2806
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",40,"1989",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",63.7919
